OBJECTID,FID_1,PROJECT_ID,GRP_CODE,PRJ_NAME,PRJ_DESC,START_DATE,END_DATE,contact_di,EMAIL,Mileage,F_STRT_NM,F_CRSST_NM,T_ST_NM,T_CRST_NM,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,Shape__Len,Shape__Length
73,73,D2R6-2AG23,SNOW-D2R6,SNOW - NORLAND ST (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.153660554,Norland St,Duncan Way,Norland St,Woodkirk St,-80.07546,40.41339,-80.07444284,40.41418866,-80.07342,40.41498,0.002586478,0.002586477
74,74,D2R6-2AG24,SNOW-D2R6,SNOW - OGDEN ST (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.044939449,Ogden St,Pringle St,Ogden St,Dead End,-80.07265,40.4168,-80.0723488,40.41702232,-80.07208,40.41728,0.000748732,0.000748732
75,75,D2R6-2AG25,SNOW-D2R6,SNOW - PRINGLE ST (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.089528506,Pringle St,Idlewood Ave,Pringle St,Dead End,-80.07324,40.41726,-80.07264971,40.41679975,-80.07208205,40.41631176,0.001497156,0.001497157
76,76,D2R6-2AG26,SNOW-D2R6,SNOW - PRINGLE WAY (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.094434473,Pringle Way,Idlewood Ave,Pringle Way,Dead End,-80.07324,40.41726,-80.07386394,40.41775135,-80.07449,40.41824,0.001588371,0.001588371
77,77,D2R6-2AG27,SNOW-D2R6,SNOW - WEIRTON ST (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.099266817,Weirton St,Idlewood Ave,Weirton St,Dead End,-80.07284097,40.41754583,-80.07350647,40.41805448,-80.07417197,40.41856313,0.001675254,0.001675255
78,78,D2R6-2AG28,SNOW-D2R6,SNOW - WOODKIRK ST (City),Snow Route - District (City Roads),11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.257413025,Woodkirk St,Carbon St,Woodkirk St,Dead End,-80.07630175,40.41720946,-80.0745866,40.4158717,-80.07283146,40.41458831,0.004350691,0.004350691
79,79,D1MA-3301-00,SNOW-MA,SNOW - TARENTUM-CULMERVILLE RD/ BAKERSTOWN RD (West Deer),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.766646928,Tarentum-Culmerville Rd,Millerstown-Culmerville Rd,Bakerstown Rd,PA 908 Ext,-79.8368,40.65042,-79.82609242,40.64083373,-79.81194,40.63739,0.030710431,0.030710431
80,80,D2R6-CC04,SNOW-D2R6,SNOW - CHESTNUT ST BR,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.042635,Chestnut St,Bridge Limit,Chestnut St,Bridge Limit,-80.08424172,40.41217051,-80.08411699,40.41187707,-80.08399553,40.41158329,0.000638698,0.000638697
81,81,D2R6-OK03,SNOW-D2R6,SNOW - OAKWOOD BR,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.013257775,Oakwood Rd,Bridge Limit,Oakwood Rd,Bridge Limit,-80.06601587,40.43023034,-80.06605165,40.43013823,-80.06608744,40.43004613,0.000197621,0.00019762
82,82,D3MA-2097-00,SNOW-MA,SNOW - DELAFIELD RD (Fox Chapel),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.866640415,Delafield Rd,Aspinwall/O'Hara Line,Delafield Rd,Fox Chapel Rd,-79.89688341,40.4929019,-79.89086353,40.49713445,-79.88361,40.49921,0.015311026,0.015311027
83,83,D3MA-2165-01,SNOW-MA,SNOW - DORSEYVILLE RD (O'Hara),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.645067774,Dorseyville Rd,Kittanning Pike,Dorseyville Rd,Harts Run Rd,-79.92047,40.51917,-79.91448684,40.53094658,-79.90127,40.54593,0.043472785,0.043472785
84,84,D3MA-2165-02,SNOW-MA,SNOW - DORSEYVILLE RD (Indiana),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.331897191,Dorseyville Rd,Indianola Rd,Dorseyville Rd,Fox Chapel Rd,-79.893,40.56876,-79.89639481,40.56010151,-79.89987,40.55115,0.020290759,0.020290759
85,85,D3MA-2165-03,SNOW-MA,SNOW - DORSEYVILLE RD (Indiana),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.321943013,Dorseyville Rd,Saxonburg Rd,Dorseyville Rd,Indianola Rd,-79.89327,40.57186,-79.89314122,40.57070735,-79.893,40.56876,0.005363666,0.005363666
86,86,D3MA-2345-00,SNOW-MA,SNOW - OLD FREEPORT RD LOOP (O'Hara),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.751751208,Old Freeport Rd,Freeport Rd,Old Freeport Rd,Freeport Rd,-79.88288619,40.48748529,-79.87609326,40.48833401,-79.86959189,40.49032919,0.013889879,0.013889879
87,87,D3MA-3018-00,SNOW-MA,SNOW - BEATTY RD (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.834155047,Beatty Rd,Center Rd,Beatty Rd,Old William Penn Hwy,-79.7646,40.44619,-79.75220579,40.45075316,-79.74221,40.44028,0.030678858,0.030678858
88,88,D3MA-3070-00,SNOW-MA,SNOW - CHURCHILL RD (Wilkins),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.743087619,Churchill Rd,Harrison Rd,Churchill Rd,Larimer Ave,-79.82645,40.42595,-79.82612177,40.42045684,-79.82168,40.41777,0.011748296,0.011748296
89,89,D3MA-3092-01,SNOW-MA,SNOW - CRAWFORD RUN RD (Indiana),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.376521374,Crawford Run Rd,Little Deer Creek Rd,Crawford Run Rd,Butler Logan Rd,-79.8079,40.59943,-79.81866445,40.59549742,-79.82763,40.58936,0.02395273,0.02395273
90,90,D1MA-DH01,SNOW-MA,SNOW - DILLSWORTH BRIDGE (Bellevue),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.049604017,Jackman Ave,Bridge Limit,Jackman Ave,Bridge Limit,-80.06241927,40.49462771,-80.06205665,40.49439696,-80.06168964,40.4941736,0.000859631,0.000859631
91,91,D3MA-3092-02,SNOW-MA,SNOW - CRAWFORD RUN RD (East Deer),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.92447307,Crawford Run Rd,Frazer/East Deer Line,Crawford Run Rd,Freeport Rd,-79.7910827,40.59038565,-79.78559913,40.58483435,-79.77841,40.58239,0.015819003,0.015819003
92,92,D3MA-3093-00,SNOW-MA,SNOW - BAILEYS RUN RD (East Deer),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.327737708,Baileys Run Rd,Frazer/East Deer Line,Baileys Run Rd,Freeport Rd,-79.78895,40.60138,-79.78003753,40.59606524,-79.77629,40.58746,0.021727893,0.021727894
93,93,D3MA-3142-01,SNOW-MA,SNOW - HAYMAKER RD (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.251041955,Haymaker Rd,Mosside Blvd,Haymaker Rd,Haymaker Rd (3142-02),-79.75076909,40.42629957,-79.75127668,40.42806362,-79.75125,40.42986,0.003692235,0.003692236
94,94,D3MA-3142-02,SNOW-MA,SNOW - HAYMAKER RD (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.823956949,Haymaker Rd,Haymaker Rd (3142-02),Haymaker Rd,Broadway Blvd,-79.76602,40.39075,-79.7570223,40.40814733,-79.75076909,40.42629957,0.04371972,0.043719721
95,95,D3MA-3142-03,SNOW-MA,SNOW - HAYMAKER RD (Ramsey Rd) (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.019889751,Ramsey Rd,Haymaker Rd (3142-02),Ramsey Rd,100' E of Haymaker (3142-02),-79.75296211,40.41103856,-79.75311121,40.41111906,-79.75325,40.41122,0.000343219,0.000343218
96,96,D3MA-3142-04,SNOW-MA,SNOW - HAYMAKER RD LOOP (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.152759023,Haymaker Rd Loop,Haymaker Rd (3142-02),Haymaker Rd Loop,Haymaker Rd (3142-02)/Metz Ln,-79.75697367,40.40302051,-79.75718893,40.40409892,-79.75705923,40.40518272,0.002246573,0.002246573
97,97,D3MA-3142-05,SNOW-MA,SNOW - HAYMAKER RD LOOP (Monroeville) (Across from Kelvington Dr),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.081789787,Haymaker Rd Loop,Haymaker Rd (3142-02),Haymaker Rd Loop,Haymaker Rd (3142-02),-79.75738019,40.40230751,-79.75804388,40.40204048,-79.75866366,40.40168971,0.001448213,0.001448212
98,98,D3MA-3142-06,SNOW-MA,SNOW - HAYMAKER RD JUG HANDLE (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.104133541,Haymaker Rd Jug Handle,Mosside Blvd,Haymaker Rd Jug Handle,Haymaker Rd (3142-01),-79.75125,40.42986,-79.75071,40.42944496,-79.75115,40.42878,0.001690865,0.001690865
99,99,D3MA-3220-01,SNOW-MA,SNOW - CENTER RD (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.127763224,Center Rd,Old Frankstown Rd,Center Rd,Old William Penn Hwy,-79.7587,40.45998,-79.76104702,40.45277514,-79.76521,40.44548,0.01745839,0.01745839
100,100,D3MA-3237-02,SNOW-MA,SNOW - YOST BLVD (Forest Hills),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.059388968,Yost Blvd,Yost Blvd (3237-01),Yost Blvd,Ardmore Blvd,-79.84762,40.41573,-79.84800215,40.41543916,-79.84832099,40.41507091,0.000974708,0.000974708
101,101,D1MA-JA01,SNOW-MA,SNOW - JACKS RUN BRIDGE (Bellevue),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.105684626,Lincoln Ave,Bridge Limit,California Ave,Bridge Limit,-80.04551,40.48772,-80.04612512,40.48832488,-80.04674,40.48893,0.001725398,0.001725399
102,102,D3MA-3253-00,SNOW-MA,SNOW - PITCAIRN RD (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.291601419,Pitcairn Rd,Monroeville Rd,Pitcairn Rd,1300' SW of Stroschein Rd,-79.77532657,40.41980011,-79.76824827,40.42747427,-79.76023,40.43334,0.021315425,0.021315426
103,103,D3MA-3258-00,SNOW-MA,SNOW - RENTON RD (Plum),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.122009608,Renton Rd,New Texas Rd,Renton Rd,Renton Ave,-79.74754,40.49439,-79.73869802,40.49928227,-79.72879,40.50027,0.020303917,0.020303916
104,104,D3MA-3298-02,SNOW-MA,SNOW - STROSCHEIN RD (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.097005073,Stroschein Rd,Monroeville Rd,Stroschein Rd,Pitcairn Rd,-79.77293,40.42286,-79.77616559,40.42983678,-79.77243,40.43618,0.017341841,0.017341841
105,105,D3MA-3314-00,SNOW-MA,SNOW - JAMES ST (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.364667113,James St,Turtle Creek/Monroeville Line,James St,Monroeville Rd,-79.81345,40.41849,-79.80192301,40.42131991,-79.79029,40.42461,0.024807084,0.024807084
106,106,D3MA-3339-00,SNOW-MA,SNOW - PATTON ST (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.394235692,Patton St,Monroeville Rd,Patton St,Jefferson St,-79.80453,40.39691,-79.80337489,40.40673953,-79.79991,40.41593,0.020982166,0.020982166
107,107,D3MA-3569-00,SNOW-MA,SNOW - SAUNDERS STATION RD (Monroeville),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.578747148,Saunders Station Rd,Haymaker Rd,Saunders Station Rd,Westmoreland Co Line,-79.72779908,40.4083823,-79.73899262,40.41446394,-79.74963,40.42232,0.027102045,0.027102045
108,108,D8MA-DK01,SNOW-MA,SNOW - DOOKERS HOLLOW BRIDGE (N Braddock),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.127147216,Bell Ave,Bridge Limit,Center St,Bridge Limit,-79.84784454,40.39652498,-79.84665816,40.39635733,-79.84546626,40.39623258,0.002397017,0.002397017
109,109,D3MA-2128-00 (1),SNOW-MA,SNOW - FOX CHAPEL RD (Fox Chapel),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,4.123634829,Fox Chapel Rd,Delafield Rd,Fox Chapel Rd,Guys Run Rd,-79.88362542,40.49919817,-79.87969251,40.52775541,-79.87732542,40.55196818,0.062780991,0.062780991
110,110,D3MA-3036-00 (1),SNOW-MA,SNOW - WILKINS AVE (Braddock Hills),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.872252232,Wilkins Ave,Swissvale/N Braddock Line,Wilkins Ave,Brinton Rd,-79.87024663,40.41365115,-79.86485635,40.41647692,-79.86402,40.42247,0.014324891,0.014324891
111,111,D3MA-3237-01 (1),SNOW-MA,SNOW - YOST BLVD (Braddock Hills),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.652562944,Yost Blvd,N Braddock/Braddock Hills Line,Yost Blvd,Braddock Hills/Forest Hills Line,-79.85718,40.40877,-79.85554402,40.41317608,-79.8501,40.41414,0.01110083,0.01110083
112,112,D1MA-1040-00,SNOW-MA,SNOW - BRANDT SCHOOL RD (Franklin Park),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.628466863,Brandt School Rd,Wexford Bayne Rd,Brandt School Rd,W Ingomar Rd,-80.09329,40.61598,-80.08014727,40.60194564,-80.06906,40.58562,0.042348297,0.042348297
113,113,D1MA-2309-01 (1),SNOW-MA,SNOW - MIDDLE RD (Shaler),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.727722264,Middle Rd,Middlecrest Dr,Middle Rd,Saxonburg Blvd,-79.94714,40.51197,-79.940672,40.5220974,-79.93879,40.53265,0.027249115,0.027249116
114,114,D3MA-2128-00 (2),SNOW-MA,SNOW - FOX CHAPEL RD (O'Hara),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.845601912,Fox Chapel Rd,Delafield Rd,Fox Chapel Rd,Freeport Rd,-79.8829,40.4875,-79.88140676,40.49332289,-79.88361,40.49921,0.012625411,0.012625411
115,115,D3MA-3036-00 (2),SNOW-MA,SNOW - BRADDOCK RD (Forest Hills),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.320848231,Braddock Rd,Brinton Rd,Braddock Rd,Ardmore Blvd,-79.86402,40.42247,-79.86176333,40.42328759,-79.85943181,40.42459455,0.005549945,0.005549945
116,116,D3MA-3237-01 (2),SNOW-MA,SNOW - YOST BLVD (Forest Hills),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.120121288,Yost Blvd,Braddock Hills/Forest Hills Line,Yost Blvd,Yost Blvd (3237-02),-79.8501,40.41414,-79.84907767,40.41435185,-79.84832099,40.41507091,0.002096063,0.002096063
117,117,D3R1-3218-00,SNOW-D3R1,SNOW - MONROEVILLE BLVD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.133347861,Monroeville Blvd,James St/Monroeville Rd,Monroeville Blvd,Pitcairn Rd,-79.79029,40.42461,-79.77796935,40.43732309,-79.76023,40.43334,0.03688825,0.03688825
118,118,D3R1-3298-01,SNOW-D3R1,SNOW - STROSCHEIN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.256762554,Stroschein Rd,William Penn Hwy,Stroschein Rd,Monroeville Rd,-79.77243,40.43618,-79.77059052,40.43734119,-79.76896,40.43871,0.004358354,0.004358354
119,119,D3R1-3313-00,SNOW-D3R1,"SNOW - LYNN AVE, MONROEVILLE RD",Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.192269835,Lynn Ave,1000' E of Chestnut St,Monroeville Rd,James St,-79.81918263,40.40541426,-79.8043638,40.41402362,-79.79029,40.42461,0.037233526,0.037233526
120,120,D3R1-3314-00,SNOW-D3R1,SNOW - JAMES ST,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.676973353,James St,555' N of Monroeville Ave,James St,Turtle Creek/Monroeville Line,-79.81877887,40.40995471,-79.81630154,40.41405846,-79.81345,40.41849,0.010567392,0.010567393
121,121,D3R2-3070-00,SNOW-D3R2,SNOW - CHURCHILL RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.699760722,Churchill Rd,Holland Rd,Churchill Rd,Harrison Rd,-79.84428,40.44446,-79.83528677,40.4356166,-79.82645,40.42595,0.027655725,0.027655725
122,122,D3R2-3234-01,SNOW-D3R2,SNOW - JEFFERSON RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.434773887,Jefferson Rd,Universal Rd,Jefferson Rd,Lougeay Rd,-79.82472,40.46572,-79.82204049,40.46343344,-79.81952,40.46104,0.007191051,0.007191051
123,123,D3R2-3234-02,SNOW-D3R2,"SNOW - LOUGEAY RD, OLD RODI RD",Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.95785695,Lougeay Rd,Jefferson Rd,Lougeay Rd,Rodi Rd,-79.81952,40.46104,-79.81755571,40.44789754,-79.82208,40.43503,0.029820383,0.029820382
124,124,D1MA-2309-01 (2),SNOW-MA,SNOW - MIDDLE RD (Indiana),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.662064403,Middle Rd,Hampton/Indiana Line,Middle Rd,Middlecrest Dr,-79.93879,40.53265,-79.93341192,40.54303991,-79.93611,40.55423,0.025613877,0.025613876
125,125,D3R3-3138-01,SNOW-D3R3,SNOW - GRAHAM BLVD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.208247003,Graham Blvd,Frankstown Rd,Graham Blvd,Penn Hills/Wilkinsburg Line,-79.86304,40.46144,-79.8630226,40.45991571,-79.86246368,40.45849838,0.003069959,0.003069959
126,126,D3R3-3138-02,SNOW-D3R3,SNOW - GRAHAM BLVD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.209967108,Graham Blvd,Penn Ave/William Penn Hwy,Graham Blvd,Greensburg Pike,-79.85847944,40.44516658,-79.85807295,40.44367757,-79.85767478,40.44218631,0.003087043,0.003087043
127,127,D3R3-3172-00,SNOW-D3R3,SNOW - LAKETON RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.871609021,Laketon Rd,Graham Blvd,Laketon Rd,Beulah Rd,-79.8574,40.45695,-79.84996354,40.45765602,-79.84266,40.46027,0.015845824,0.015845824
128,128,D3R4-3181-00,SNOW-D3R4,SNOW - LINDSAY LANE,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.642027633,Lindsey Ln,Old Frankstown Rd,Lindsey Ln,New Texas Rd,-79.72411,40.46041,-79.72830962,40.45744429,-79.73141,40.45336,0.010515618,0.010515617
129,129,D3R4-3220-01,SNOW-D3R4,SNOW - CENTER RD/MONROEVILLE TRESTLE RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.330330262,Monroeville Trestle Rd,Saltsburg Rd,Center Rd/Monroeville Trestle Rd,Old Frankstown Rd,-79.7587,40.45998,-79.75542963,40.46867645,-79.76028,40.47642,0.020921006,0.020921005
130,130,D3R4-3220-02,SNOW-D3R4,SNOW - CENTER RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.43022183,Center Rd,Old William Penn Hwy,Center Rd,William Penn Hwy,-79.76895977,40.43870372,-79.7668086,40.44139022,-79.76860387,40.44380653,0.006898891,0.006898891
131,131,D3R4-3252-00,SNOW-D3R4,SNOW - PIERSON RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.291745785,Pierson Run Rd,Saltsburg Rd,Pierson Run Rd,Old Frankstown Rd,-79.75984,40.477,-79.74516172,40.46763493,-79.73331,40.45442,0.037954178,0.037954178
132,132,D3R4-3287-00,SNOW-D3R4,SNOW - SPRING MILLER RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.331223311,Spring Miller Rd,Pierson Run Rd,Spring Miller Rd,Old Frankstown Rd,-79.74376,40.45685,-79.74255791,40.45896675,-79.74113,40.46092,0.005198634,0.005198634
133,133,D3R4-3316-00,SNOW-D3R4,SNOW - UNITY-TRESTLE RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.799847971,Unity Trestle Rd,Old Leechburg Rd,Unity Trestle Rd,Saltsburg Rd,-79.78502,40.49176,-79.77142001,40.48628778,-79.75951108,40.4778502,0.03133675,0.03133675
134,134,D3R5-3035-00,SNOW-D3R5,SNOW - RIVER AVE,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.061087257,River Ave,Mile Lock Ln,River Ave,Diamond Aly,-79.73388,40.60458,-79.72524065,40.60728971,-79.71975,40.61406,0.018149935,0.018149935
135,135,D1R1-1016-00,SNOW-D1R1,SNOW - BASCOM AVE,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.251890453,Bascom Ave,Brighton Rd,Bascom Ave,Ross/Pittsburgh Line,-80.02793205,40.49538975,-80.03822267,40.49396974,-80.04366,40.48986,0.021896699,0.021896698
136,136,D3R5-3092-02,SNOW-D3R5,SNOW - CRAWFORD RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.135960622,Crawford Run Rd,Butler Logan Rd,Crawford Run Rd,Frazer/East Deer Line,-79.8079,40.59943,-79.79967514,40.59449926,-79.79111,40.59041,0.01984809,0.019848089
137,137,D3R5-3093-00,SNOW-D3R5,SNOW - BAILEYS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.98954079,Baileys Run Rd,Butler Logan Rd,Baileys Run Rd,Frazer/East Deer Line,-79.81879,40.60976,-79.80279471,40.61116939,-79.78900364,40.60140682,0.034863122,0.034863121
138,138,D3R5-3228-00,SNOW-D3R5,SNOW - ARGONNE DR/ VINE ST,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.303991473,Argonne Dr,Freeport Rd,Vine St,Elm St,-79.73387,40.61752,-79.73243727,40.61001705,-79.72353,40.61576,0.021470806,0.021470806
139,139,D3R5-3229-00,SNOW-D3R5,SNOW - SPRING HILL RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.821440092,Spring Hill Rd,N Canal St,Spring Hill Rd,Freeport Rd,-79.72136,40.62667,-79.7149731,40.62409386,-79.71921,40.61933,0.014092181,0.014092181
140,140,D3R5-3301-00,SNOW-D3R5,SNOW - BAKERSTOWN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,4.3164022,Bakerstown Rd,Pa 908 Ext.,Bakerstown Rd,East St,-79.81194,40.63739,-79.78545548,40.61806675,-79.76175,40.60332,0.073203684,0.073203684
141,141,D3R6-3179-01,SNOW-D3R6,SNOW - LINCOLN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,2.16904339,Lincoln Rd,Pittsburgh/Penn Hills Line,Lincoln Rd,Verona Rd,-79.88766705,40.47309155,-79.87296679,40.47418049,-79.85642,40.47371,0.037969252,0.037969252
142,142,D3R6-3179-02,SNOW-D3R6,SNOW - NADINE RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.758599252,Nadine Rd,Allegheny River Blvd,Nadine Rd,Lincoln Rd,-79.87634,40.48149,-79.87050488,40.47852333,-79.86455,40.47569,0.013419678,0.013419678
143,143,D3R6-3224-00,SNOW-D3R6,SNOW - MOUNT CARMEL RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.427072584,Mt Carmel Rd,Pittsburgh/Penn Hills Line,Mt Carmel Rd,Verona Rd,-79.88813496,40.47086159,-79.87752623,40.46549838,-79.86538,40.46572,0.025538976,0.025538976
